trial_idx,summary_path,oddball_idx,oddball_abstraction,reference_variance,n_dimensions,abstraction_columns,response,answer,n_input_tokens,n_thought_tokens,n_output_tokens
0,data/totems/dim2/var3/summaries/summary=trial0.png,4,module2_color,3,2,"module1_shape,module1_color,module2_shape,module2_color","[6] {Image 6 is the only one where both shapes are triangles and are colored differently (blue and red). In images 1 and 5, both triangles are blue. In images 2, 3, and 4, the shapes are squares, and in those, only one square is blue (image 2: top blue, bottom red; image 3: top blue, bottom red; image 4: top green, bottom blue).}",6,1599,0,0
1,data/totems/dim2/var3/summaries/summary=trial1.png,5,module2_shape,3,2,"module1_shape,module1_color,module2_shape,module2_color","[5] {In all other images, the top shape is a square and the bottom shape is either a circle or an inverted triangle. In image 5, both shapes are inverted triangles.}",5,1599,0,0
2,data/totems/dim2/var3/summaries/summary=trial2.png,5,module2_color,3,2,"module1_shape,module1_color,module2_shape,module2_color",[6] {Image 6 is the only one where both shapes are rectangles/squares.},6,1599,0,0
3,data/totems/dim2/var3/summaries/summary=trial3.png,5,module2_shape,3,2,"module1_shape,module1_color,module2_shape,module2_color","[5] {The other five images all depict a triangle on top of another shape (either a triangle or a circle), with the bottom vertex of the upper triangle touching the upper boundary of the lower shape. Image 5 depicts a circle on top of a triangle.}",5,1599,0,0
4,data/totems/dim2/var3/summaries/summary=trial4.png,3,module2_shape,3,2,"module1_shape,module1_color,module2_shape,module2_color","[3] {All other images show a figure composed of a triangle and another shape (either a circle or a square) where the triangle is positioned on top of the other shape, and their colors are different. In image 3, the top shape is a circle, not a triangle.}",3,1599,0,0
5,data/totems/dim2/var3/summaries/summary=trial5.png,5,module2_shape,3,2,"module1_shape,module1_color,module2_shape,module2_color",[5] {It is the only image where one of the shapes is a circle.},5,1599,0,0
6,data/totems/dim2/var3/summaries/summary=trial6.png,1,module2_color,3,2,"module1_shape,module1_color,module2_shape,module2_color","[1] {All other images use two distinct shapes (a rectangle and a triangle) or two distinct colors (red and green), or both, while image 1 uses two of the same shape (rectangles) and only one distinct color (blue and red).}",1,1599,0,0
7,data/totems/dim2/var3/summaries/summary=trial7.png,2,module1_shape,3,2,"module1_shape,module1_color,module2_shape,module2_color","[2] {This is the only image where both shapes are the same color. In all other images, the top shape is a different color from the bottom shape.}",2,1599,0,0
8,data/totems/dim2/var3/summaries/summary=trial8.png,3,module1_color,3,2,"module1_shape,module1_color,module2_shape,module2_color","[4] {This image is the only one where both shapes are red. In all other images, there is one red shape and one blue shape.}",4,1599,0,0
9,data/totems/dim2/var3/summaries/summary=trial9.png,3,module1_shape,3,2,"module1_shape,module1_color,module2_shape,module2_color","[3] {In all other images, the two shapes are of different colors. In image 3, both shapes are circles and are of the same color (green).}",3,1599,0,0
10,data/totems/dim2/var3/summaries/summary=trial10.png,1,module1_shape,3,2,"module1_shape,module1_color,module2_shape,module2_color","[1] {All other images show two shapes where one is directly on top of the other, with their touching edges aligning perfectly. In image 1, the triangle is below the square, and their touching edges are not perfectly aligned, with the triangle's base being longer than the square's base.}",1,1599,0,0
11,data/totems/dim2/var3/summaries/summary=trial11.png,3,module2_shape,3,2,"module1_shape,module1_color,module2_shape,module2_color","[3] {All other images show two shapes that meet at a single point, where the bottom shape is a downward-pointing triangle and the top shape is another triangle or a circle. Image 3 shows a square and a circle, which are different shapes from the others and are not connected at a single point, but rather the square is resting on top of the circle.}",3,1599,0,0
12,data/totems/dim2/var3/summaries/summary=trial12.png,6,module1_shape,3,2,"module1_shape,module1_color,module2_shape,module2_color","[6] {Image 6 is the only one that contains a circle, while all other images contain only squares and/or triangles.}",6,1599,0,0
13,data/totems/dim2/var3/summaries/summary=trial13.png,6,module1_color,3,2,"module1_shape,module1_color,module2_shape,module2_color",[4] {This is the only image that contains two shapes of different colors (red and blue). All other images contain two shapes of the same color (either both blue or both red).},4,1599,0,0
14,data/totems/dim2/var3/summaries/summary=trial14.png,5,module2_shape,3,2,"module1_shape,module1_color,module2_shape,module2_color","[5] {All other images depict a triangle on top of another shape, whereas image 5 depicts a circle on top of a square.}",5,1599,0,0
