trial_idx,summary_path,oddball_idx,oddball_abstraction,reference_variance,n_dimensions,abstraction_columns,response,answer,n_input_tokens,n_thought_tokens,n_output_tokens
0,data/glyphs/dim1/var1/summaries/summary=trial0.png,3,emb1_color,1,1,"emb1_type,emb1_color",[3] {All other images show two vertical black lines with a blue line or two blue ovals connecting their bases. Image 3 is the only one with green ovals.},3,1599,0,0
1,data/glyphs/dim1/var1/summaries/summary=trial1.png,3,emb1_color,1,1,"emb1_type,emb1_color","[3] {All other images have a green line at the bottom, while image 3 has a blue line.}",3,1599,0,0
2,data/glyphs/dim1/var1/summaries/summary=trial2.png,2,emb1_color,1,1,"emb1_type,emb1_color","[2] {All other images have a green line or shapes at the bottom, whereas image 2 has a blue line.}",2,1599,0,0
3,data/glyphs/dim1/var1/summaries/summary=trial3.png,6,emb1_color,1,1,"emb1_type,emb1_color","[6] {Image 6 is the only one where the curved line at the bottom is red; in all other images, it is green.}",6,1599,0,0
4,data/glyphs/dim1/var1/summaries/summary=trial4.png,1,emb1_color,1,1,"emb1_type,emb1_color","[1] {All other images depict two vertical lines connected by a horizontal line at the bottom, or two vertical lines with two circles at the bottom. Image 1 is the only one with blue circles, all other circles or lines are green.}",1,1599,0,0
5,data/glyphs/dim1/var1/summaries/summary=trial5.png,2,emb1_color,1,1,"emb1_type,emb1_color","[2] {All other images show two vertical black lines connected by a wavy green line at the bottom. Image 2 shows two vertical black lines with two small red ovals near the bottom, not a connecting wavy line.}",2,1599,0,0
6,data/glyphs/dim1/var1/summaries/summary=trial6.png,5,emb1_color,1,1,"emb1_type,emb1_color","[5] {All other images have red elements, while image 5 has green elements.}",5,1599,0,0
7,data/glyphs/dim1/var1/summaries/summary=trial7.png,3,emb1_type,1,1,"emb1_type,emb1_color","[3] {All other images have a straight horizontal line at the bottom, while image 3 has a wavy line.}",3,1599,0,0
8,data/glyphs/dim1/var1/summaries/summary=trial8.png,5,emb1_type,1,1,"emb1_type,emb1_color","[5] {All other images contain a wavy line at the bottom, whereas image 5 has a straight line.}",5,1599,0,0
9,data/glyphs/dim1/var1/summaries/summary=trial9.png,3,emb1_type,1,1,"emb1_type,emb1_color","[3] {The third image is the only one where the colored shape connects the two vertical lines. In all other images, the colored shapes are separate and located below the vertical lines.}",3,1599,0,0
10,data/glyphs/dim1/var1/summaries/summary=trial10.png,3,emb1_type,1,1,"emb1_type,emb1_color","[3] {The horizontal line connecting the two vertical lines is straight, while in all other images the connecting shapes are curved.}",3,1599,0,0
11,data/glyphs/dim1/var1/summaries/summary=trial11.png,3,emb1_color,1,1,"emb1_type,emb1_color","[3] {All other images have a blue line at the bottom, while image 3 has a red line.}",3,1599,0,0
12,data/glyphs/dim1/var1/summaries/summary=trial12.png,1,emb1_type,1,1,"emb1_type,emb1_color","[1] {All other images show a curved line at the bottom, while image 1 shows a straight line at the bottom.}",1,1599,0,0
13,data/glyphs/dim1/var1/summaries/summary=trial13.png,3,emb1_type,1,1,"emb1_type,emb1_color","[3] {All other images show two small, roughly circular shapes, while image 3 shows a single wavy line.}",3,1599,0,0
14,data/glyphs/dim1/var1/summaries/summary=trial14.png,5,emb1_color,1,1,"emb1_type,emb1_color","[5] {This image has green circles, while all other images with circles have blue circles. The images with horizontal lines all have blue lines.}",5,1599,0,0
15,data/glyphs/dim1/var1/summaries/summary=trial15.png,2,emb1_color,1,1,"emb1_type,emb1_color","[2] {The small shapes at the bottom of the two vertical lines are blue, while in all other images they are green.}",2,1599,0,0
16,data/glyphs/dim1/var1/summaries/summary=trial16.png,1,emb1_color,1,1,"emb1_type,emb1_color","[1] {The horizontal line is blue, while in all other images it is red.}",1,1599,0,0
17,data/glyphs/dim1/var1/summaries/summary=trial17.png,5,emb1_color,1,1,"emb1_type,emb1_color","[5] {All other images have elements drawn in green, while image 5 has elements drawn in red.}",5,1599,0,0
18,data/glyphs/dim1/var1/summaries/summary=trial18.png,4,emb1_type,1,1,"emb1_type,emb1_color","[4] {The bottom line in image 4 is straight, whereas in all other images, it is wavy.}",4,1599,0,0
19,data/glyphs/dim1/var1/summaries/summary=trial19.png,1,emb1_color,1,1,"emb1_type,emb1_color","[1] {The horizontal line in image 1 is blue, while the horizontal lines in images 2 and 4 are red. Images 3, 5, and 6 contain red ovals or diamond shapes instead of a horizontal line.}",1,1599,0,0
20,data/glyphs/dim1/var1/summaries/summary=trial20.png,2,emb1_color,1,1,"emb1_type,emb1_color","[2] {Images 1, 3, 4, 5, and 6 show two vertical black lines with a red element at the bottom (either two small circles or a wavy line). Image 2 is the outlier because the element at the bottom is blue instead of red.}",2,1599,0,0
21,data/glyphs/dim1/var1/summaries/summary=trial21.png,3,emb1_type,1,1,"emb1_type,emb1_color","[3] {Image 3 is the only one where the bottom feature is a single continuous curved line. In all other images, the bottom feature consists of two distinct circular or oval shapes.}",3,1599,0,0
22,data/glyphs/dim1/var1/summaries/summary=trial22.png,1,emb1_type,1,1,"emb1_type,emb1_color","[1] {All other images have two small circles at the bottom, while image 1 has a horizontal line at the bottom.}",1,1599,0,0
23,data/glyphs/dim1/var1/summaries/summary=trial23.png,4,emb1_color,1,1,"emb1_type,emb1_color","[4] {This image is the only one where the horizontal line is red. In all other images, the horizontal line or circles are blue.}",4,1599,0,0
24,data/glyphs/dim1/var1/summaries/summary=trial24.png,3,emb1_type,1,1,"emb1_type,emb1_color","[3] {All other images show two small circles at the bottom of the vertical lines, while image 3 shows a curved line connecting the bottom of the vertical lines.}",3,1599,0,0
