program_string,n_sides,edge_type,transform_type,n_copies,render_filepath
(T (C (C (T (C (C (T l (M 1.7321 1.0472 0.0000 -1.0000)) (T l (M 1.7321 3.1416 0.8660 0.5000))) (T l (M 1.7321 -1.0472 -0.8660 0.5000))) (M 1 0 1.800 0.000)) (T (C (C (T l (M 1.7321 1.0472 0.0000 -1.0000)) (T l (M 1.7321 3.1416 0.8660 0.5000))) (T l (M 1.7321 -1.0472 -0.8660 0.5000))) (M 1 0 -0.900 1.559))) (T (C (C (T l (M 1.7321 1.0472 0.0000 -1.0000)) (T l (M 1.7321 3.1416 0.8660 0.5000))) (T l (M 1.7321 -1.0472 -0.8660 0.5000))) (M 1 0 -0.900 -1.559))) (M 0.750 0 0 0)),3,straight,radial,3,balanced_data/dim_balanced/regular_polygons/dim2/var3/images/0.png
(T (C (C (C (T (C (C (T l (M 1.7321 1.0472 0.0000 -1.0000)) (T l (M 1.7321 3.1416 0.8660 0.5000))) (T l (M 1.7321 -1.0472 -0.8660 0.5000))) (M 1 0 1.800 0.000)) (T (C (C (T l (M 1.7321 1.0472 0.0000 -1.0000)) (T l (M 1.7321 3.1416 0.8660 0.5000))) (T l (M 1.7321 -1.0472 -0.8660 0.5000))) (M 1 0 0.000 1.800))) (T (C (C (T l (M 1.7321 1.0472 0.0000 -1.0000)) (T l (M 1.7321 3.1416 0.8660 0.5000))) (T l (M 1.7321 -1.0472 -0.8660 0.5000))) (M 1 0 -1.800 0.000))) (T (C (C (T l (M 1.7321 1.0472 0.0000 -1.0000)) (T l (M 1.7321 3.1416 0.8660 0.5000))) (T l (M 1.7321 -1.0472 -0.8660 0.5000))) (M 1 0 -0.000 -1.800))) (M 0.750 0 0 0)),3,straight,radial,4,balanced_data/dim_balanced/regular_polygons/dim2/var3/images/1.png
(T (C (C (C (C (T (C (C (T l (M 1.7321 1.0472 0.0000 -1.0000)) (T l (M 1.7321 3.1416 0.8660 0.5000))) (T l (M 1.7321 -1.0472 -0.8660 0.5000))) (M 1 0 1.800 0.000)) (T (C (C (T l (M 1.7321 1.0472 0.0000 -1.0000)) (T l (M 1.7321 3.1416 0.8660 0.5000))) (T l (M 1.7321 -1.0472 -0.8660 0.5000))) (M 1 0 0.556 1.712))) (T (C (C (T l (M 1.7321 1.0472 0.0000 -1.0000)) (T l (M 1.7321 3.1416 0.8660 0.5000))) (T l (M 1.7321 -1.0472 -0.8660 0.5000))) (M 1 0 -1.456 1.058))) (T (C (C (T l (M 1.7321 1.0472 0.0000 -1.0000)) (T l (M 1.7321 3.1416 0.8660 0.5000))) (T l (M 1.7321 -1.0472 -0.8660 0.5000))) (M 1 0 -1.456 -1.058))) (T (C (C (T l (M 1.7321 1.0472 0.0000 -1.0000)) (T l (M 1.7321 3.1416 0.8660 0.5000))) (T l (M 1.7321 -1.0472 -0.8660 0.5000))) (M 1 0 0.556 -1.712))) (M 0.750 0 0 0)),3,straight,radial,5,balanced_data/dim_balanced/regular_polygons/dim2/var3/images/2.png
(T (C (C (C (C (C (T (C (C (T l (M 1.7321 1.0472 0.0000 -1.0000)) (T l (M 1.7321 3.1416 0.8660 0.5000))) (T l (M 1.7321 -1.0472 -0.8660 0.5000))) (M 1 0 1.800 0.000)) (T (C (C (T l (M 1.7321 1.0472 0.0000 -1.0000)) (T l (M 1.7321 3.1416 0.8660 0.5000))) (T l (M 1.7321 -1.0472 -0.8660 0.5000))) (M 1 0 0.900 1.559))) (T (C (C (T l (M 1.7321 1.0472 0.0000 -1.0000)) (T l (M 1.7321 3.1416 0.8660 0.5000))) (T l (M 1.7321 -1.0472 -0.8660 0.5000))) (M 1 0 -0.900 1.559))) (T (C (C (T l (M 1.7321 1.0472 0.0000 -1.0000)) (T l (M 1.7321 3.1416 0.8660 0.5000))) (T l (M 1.7321 -1.0472 -0.8660 0.5000))) (M 1 0 -1.800 0.000))) (T (C (C (T l (M 1.7321 1.0472 0.0000 -1.0000)) (T l (M 1.7321 3.1416 0.8660 0.5000))) (T l (M 1.7321 -1.0472 -0.8660 0.5000))) (M 1 0 -0.900 -1.559))) (T (C (C (T l (M 1.7321 1.0472 0.0000 -1.0000)) (T l (M 1.7321 3.1416 0.8660 0.5000))) (T l (M 1.7321 -1.0472 -0.8660 0.5000))) (M 1 0 0.900 -1.559))) (M 0.750 0 0 0)),3,straight,radial,6,balanced_data/dim_balanced/regular_polygons/dim2/var3/images/3.png
(T (C (C (T (C (C (T l (M 1.7321 1.0472 0.0000 -1.0000)) (T l (M 1.7321 3.1416 0.8660 0.5000))) (T l (M 1.7321 -1.0472 -0.8660 0.5000))) (M 1 0 -2.540 0)) (T (C (C (T l (M 1.7321 1.0472 0.0000 -1.0000)) (T l (M 1.7321 3.1416 0.8660 0.5000))) (T l (M 1.7321 -1.0472 -0.8660 0.5000))) (M 1 0 0.000 0))) (T (C (C (T l (M 1.7321 1.0472 0.0000 -1.0000)) (T l (M 1.7321 3.1416 0.8660 0.5000))) (T l (M 1.7321 -1.0472 -0.8660 0.5000))) (M 1 0 2.540 0))) (M 0.750 0 0 0)),3,straight,line,3,balanced_data/dim_balanced/regular_polygons/dim2/var3/images/4.png
(T (C (C (C (T (C (C (T l (M 1.7321 1.0472 0.0000 -1.0000)) (T l (M 1.7321 3.1416 0.8660 0.5000))) (T l (M 1.7321 -1.0472 -0.8660 0.5000))) (M 1 0 -3.300 0)) (T (C (C (T l (M 1.7321 1.0472 0.0000 -1.0000)) (T l (M 1.7321 3.1416 0.8660 0.5000))) (T l (M 1.7321 -1.0472 -0.8660 0.5000))) (M 1 0 -1.100 0))) (T (C (C (T l (M 1.7321 1.0472 0.0000 -1.0000)) (T l (M 1.7321 3.1416 0.8660 0.5000))) (T l (M 1.7321 -1.0472 -0.8660 0.5000))) (M 1 0 1.100 0))) (T (C (C (T l (M 1.7321 1.0472 0.0000 -1.0000)) (T l (M 1.7321 3.1416 0.8660 0.5000))) (T l (M 1.7321 -1.0472 -0.8660 0.5000))) (M 1 0 3.300 0))) (M 0.750 0 0 0)),3,straight,line,4,balanced_data/dim_balanced/regular_polygons/dim2/var3/images/5.png
(T (C (C (C (C (T (C (C (T l (M 1.7321 1.0472 0.0000 -1.0000)) (T l (M 1.7321 3.1416 0.8660 0.5000))) (T l (M 1.7321 -1.0472 -0.8660 0.5000))) (M 1 0 -3.935 0)) (T (C (C (T l (M 1.7321 1.0472 0.0000 -1.0000)) (T l (M 1.7321 3.1416 0.8660 0.5000))) (T l (M 1.7321 -1.0472 -0.8660 0.5000))) (M 1 0 -1.968 0))) (T (C (C (T l (M 1.7321 1.0472 0.0000 -1.0000)) (T l (M 1.7321 3.1416 0.8660 0.5000))) (T l (M 1.7321 -1.0472 -0.8660 0.5000))) (M 1 0 0.000 0))) (T (C (C (T l (M 1.7321 1.0472 0.0000 -1.0000)) (T l (M 1.7321 3.1416 0.8660 0.5000))) (T l (M 1.7321 -1.0472 -0.8660 0.5000))) (M 1 0 1.968 0))) (T (C (C (T l (M 1.7321 1.0472 0.0000 -1.0000)) (T l (M 1.7321 3.1416 0.8660 0.5000))) (T l (M 1.7321 -1.0472 -0.8660 0.5000))) (M 1 0 3.935 0))) (M 0.726 0 0 0)),3,straight,line,5,balanced_data/dim_balanced/regular_polygons/dim2/var3/images/6.png
(T (C (C (C (C (C (T (C (C (T l (M 1.7321 1.0472 0.0000 -1.0000)) (T l (M 1.7321 3.1416 0.8660 0.5000))) (T l (M 1.7321 -1.0472 -0.8660 0.5000))) (M 1 0 -4.491 0)) (T (C (C (T l (M 1.7321 1.0472 0.0000 -1.0000)) (T l (M 1.7321 3.1416 0.8660 0.5000))) (T l (M 1.7321 -1.0472 -0.8660 0.5000))) (M 1 0 -2.694 0))) (T (C (C (T l (M 1.7321 1.0472 0.0000 -1.0000)) (T l (M 1.7321 3.1416 0.8660 0.5000))) (T l (M 1.7321 -1.0472 -0.8660 0.5000))) (M 1 0 -0.898 0))) (T (C (C (T l (M 1.7321 1.0472 0.0000 -1.0000)) (T l (M 1.7321 3.1416 0.8660 0.5000))) (T l (M 1.7321 -1.0472 -0.8660 0.5000))) (M 1 0 0.898 0))) (T (C (C (T l (M 1.7321 1.0472 0.0000 -1.0000)) (T l (M 1.7321 3.1416 0.8660 0.5000))) (T l (M 1.7321 -1.0472 -0.8660 0.5000))) (M 1 0 2.694 0))) (T (C (C (T l (M 1.7321 1.0472 0.0000 -1.0000)) (T l (M 1.7321 3.1416 0.8660 0.5000))) (T l (M 1.7321 -1.0472 -0.8660 0.5000))) (M 1 0 4.491 0))) (M 0.673 0 0 0)),3,straight,line,6,balanced_data/dim_balanced/regular_polygons/dim2/var3/images/7.png
(T (repeat (C (C (T l (M 1.7321 1.0472 0.0000 -1.0000)) (T l (M 1.7321 3.1416 0.8660 0.5000))) (T l (M 1.7321 -1.0472 -0.8660 0.5000))) 3 0 0 0.900 2.29440) (M 0.750 0 0 0)),3,straight,spiral,3,balanced_data/dim_balanced/regular_polygons/dim2/var3/images/8.png
(T (repeat (C (C (T l (M 1.7321 1.0472 0.0000 -1.0000)) (T l (M 1.7321 3.1416 0.8660 0.5000))) (T l (M 1.7321 -1.0472 -0.8660 0.5000))) 4 0 0 0.900 1.77080) (M 0.750 0 0 0)),3,straight,spiral,4,balanced_data/dim_balanced/regular_polygons/dim2/var3/images/9.png
