trial_idx,summary_path,oddball_idx,oddball_abstraction,reference_variance,n_dimensions,abstraction_columns,response,answer,n_input_tokens,n_thought_tokens,n_output_tokens
0,balanced_data/dim_balanced/totems/dim3/var3/summaries/summary=trial0.png,6,module1_color,3,3,"module1_shape,module1_color,module2_shape,module2_color,module3_shape,module3_color",[1] {It is the only image where all three shapes are red.},1,1599,0,16
1,balanced_data/dim_balanced/totems/dim3/var3/summaries/summary=trial1.png,3,module1_shape,3,3,"module1_shape,module1_color,module2_shape,module2_color,module3_shape,module3_color",[3] {It is the only image where all three shapes are of the same color (blue).},3,1599,0,21
2,balanced_data/dim_balanced/totems/dim3/var3/summaries/summary=trial2.png,1,module1_color,3,3,"module1_shape,module1_color,module2_shape,module2_color,module3_shape,module3_color",[1] {It is the only image where the bottom shape is a square and all three shapes are the same color (red).},1,1599,0,27
3,balanced_data/dim_balanced/totems/dim3/var3/summaries/summary=trial3.png,1,module3_color,3,3,"module1_shape,module1_color,module2_shape,module2_color,module3_shape,module3_color","[1] {All other images show shapes stacked on top of each other, while image 1 has a green circle on top, a blue circle in the middle, and a blue square on the bottom.}",1,1599,0,42
4,balanced_data/dim_balanced/totems/dim3/var3/summaries/summary=trial4.png,5,module2_shape,3,3,"module1_shape,module1_color,module2_shape,module2_color,module3_shape,module3_color","[5] {Image 5 is the only image where the shapes are not predominantly triangles. Images 1, 2, 3, 4, and 6 all have two triangles and one other shape, while image 5 has two squares and one triangle.}",5,1599,0,55
5,balanced_data/dim_balanced/totems/dim3/var3/summaries/summary=trial5.png,5,module1_color,3,3,"module1_shape,module1_color,module2_shape,module2_color,module3_shape,module3_color","[5] {The circle at the bottom of the stack is blue, while in all other images, the bottom shape is red.}",5,1599,0,27
6,balanced_data/dim_balanced/totems/dim3/var3/summaries/summary=trial6.png,2,module2_shape,3,3,"module1_shape,module1_color,module2_shape,module2_color,module3_shape,module3_color",[2] {Image 2 is the only one where all shapes are triangles or circles. The other images contain at least one square.},2,1599,0,28
7,balanced_data/dim_balanced/totems/dim3/var3/summaries/summary=trial7.png,5,module3_shape,3,3,"module1_shape,module1_color,module2_shape,module2_color,module3_shape,module3_color","[1] {It is the only image where all shapes are triangles and squares, without a circle.}",1,1599,0,21
8,balanced_data/dim_balanced/totems/dim3/var3/summaries/summary=trial8.png,2,module3_shape,3,3,"module1_shape,module1_color,module2_shape,module2_color,module3_shape,module3_color","[2] {Image 2 is the only one where all three shapes are circles. All other images contain a mix of different shapes (triangle, square, circle).}",2,1599,0,34
9,balanced_data/dim_balanced/totems/dim3/var3/summaries/summary=trial9.png,6,module3_color,3,3,"module1_shape,module1_color,module2_shape,module2_color,module3_shape,module3_color",[4] {It is the only image where all three shapes are circles.},4,1599,0,16
10,balanced_data/dim_balanced/totems/dim3/var3/summaries/summary=trial10.png,1,module2_shape,3,3,"module1_shape,module1_color,module2_shape,module2_color,module3_shape,module3_color","[6] {The shapes in image 6 are not touching, while in all other images, the shapes are touching or overlapping.}",6,1599,0,27
11,balanced_data/dim_balanced/totems/dim3/var3/summaries/summary=trial11.png,6,module1_color,3,3,"module1_shape,module1_color,module2_shape,module2_color,module3_shape,module3_color","[6] {Images 1, 2, 3, 4, and 5 all have at least one blue shape. Image 6 is the only one without a blue shape.}",6,1599,0,40
12,balanced_data/dim_balanced/totems/dim3/var3/summaries/summary=trial12.png,6,module3_shape,3,3,"module1_shape,module1_color,module2_shape,module2_color,module3_shape,module3_color","[6] {All other images consist of a stack of squares (or a square and a circle) where the shapes are all oriented in the same way, while image 6 has an inverted triangle at the top.}",6,1599,0,44
13,balanced_data/dim_balanced/totems/dim3/var3/summaries/summary=trial13.png,6,module2_color,3,3,"module1_shape,module1_color,module2_shape,module2_color,module3_shape,module3_color",[3] {Image 3 is the only one composed exclusively of squares; all other images include at least one circle.},3,1599,0,25
14,balanced_data/dim_balanced/totems/dim3/var3/summaries/summary=trial14.png,4,module3_color,3,3,"module1_shape,module1_color,module2_shape,module2_color,module3_shape,module3_color","[1] {All other images consist of two squares and either one square or one triangle, whereas image 1 has three squares.}",1,1599,0,27
15,balanced_data/dim_balanced/totems/dim3/var3/summaries/summary=trial15.png,6,module2_shape,3,3,"module1_shape,module1_color,module2_shape,module2_color,module3_shape,module3_color",[6] {It is the only image where all three shapes are triangles.},6,1599,0,16
16,balanced_data/dim_balanced/totems/dim3/var3/summaries/summary=trial16.png,1,module3_color,3,3,"module1_shape,module1_color,module2_shape,module2_color,module3_shape,module3_color","[1] {All other images show three shapes where the middle shape touches the shapes above and below it. In image 1, the top triangle and middle square are connected, but the middle square and bottom circle are separate.}",1,1599,0,46
17,balanced_data/dim_balanced/totems/dim3/var3/summaries/summary=trial17.png,5,module1_color,3,3,"module1_shape,module1_color,module2_shape,module2_color,module3_shape,module3_color","[5] {It is the only image where one of the shapes is drawn in blue, while all other images only use green shapes (besides the red number).}",5,1599,0,33
18,balanced_data/dim_balanced/totems/dim3/var3/summaries/summary=trial18.png,2,module3_shape,3,3,"module1_shape,module1_color,module2_shape,module2_color,module3_shape,module3_color",[2] {Image 2 is the only one that does not contain a triangle. All other images have a triangle as the top shape.},2,1599,0,29
19,balanced_data/dim_balanced/totems/dim3/var3/summaries/summary=trial19.png,2,module3_shape,3,3,"module1_shape,module1_color,module2_shape,module2_color,module3_shape,module3_color","[2] {All other images contain a circle as the top shape, while image 2 has a square at the top.}",2,1599,0,26
20,balanced_data/dim_balanced/totems/dim3/var3/summaries/summary=trial20.png,1,module1_color,3,3,"module1_shape,module1_color,module2_shape,module2_color,module3_shape,module3_color","[4] {The top shape is a blue circle, and the other two shapes are red triangles pointing downwards. All other images have at least two different colors, and all shapes are unique in color relative to its shape. For example, in image 1, the top shape is a blue circle, the middle shape is a red circle, and the bottom shape is a green triangle pointing downwards. Each shape is a unique color. In image 4, the top is blue, and the other two shapes are red.}",4,1599,0,105
