program_string,emb1_type,emb1_color,emb2_type,emb2_color,emb3_type,emb3_color,render_filepath
(C (C (lift -1 -2.0 (/ pi 2)) (curve 0 4.0 0) (lift 1 -2.0 (/ pi 2)) (curve 0 4.0 0)) (C (C (color 1 0 0 (C (lift -1.5 -2.0 0) (curve 0 3.0 0))) (color 1 0 0 (C (lift -1.5 0.0 0) (curve 0 3.0 0)))) (color 1 0 0 (C (lift -1.5 2.0 0) (curve 0 3.0 0))))),h_line,red,h_line,red,h_line,red,balanced_data/var_balanced/glyphs/dim3/var4/images/0.png
(C (C (lift -1 -2.0 (/ pi 2)) (curve 0 4.0 0) (lift 1 -2.0 (/ pi 2)) (curve 0 4.0 0)) (C (C (color 1 0 0 (C (lift -1.5 -2.0 0) (curve 0 3.0 0))) (color 1 0 0 (C (lift -1.5 0.0 0) (curve 0 3.0 0)))) (color 0 1 0 (C (lift -1.5 2.0 0) (curve 0 3.0 0))))),h_line,red,h_line,red,h_line,green,balanced_data/var_balanced/glyphs/dim3/var4/images/1.png
(C (C (lift -1 -2.0 (/ pi 2)) (curve 0 4.0 0) (lift 1 -2.0 (/ pi 2)) (curve 0 4.0 0)) (C (C (color 1 0 0 (C (lift -1.5 -2.0 0) (curve 0 3.0 0))) (color 1 0 0 (C (lift -1.5 0.0 0) (curve 0 3.0 0)))) (color 0 0 1 (C (lift -1.5 2.0 0) (curve 0 3.0 0))))),h_line,red,h_line,red,h_line,blue,balanced_data/var_balanced/glyphs/dim3/var4/images/2.png
(C (C (lift -1 -2.0 (/ pi 2)) (curve 0 4.0 0) (lift 1 -2.0 (/ pi 2)) (curve 0 4.0 0)) (C (C (color 1 0 0 (C (lift -1.5 -2.0 0) (curve 0 3.0 0))) (color 1 0 0 (C (lift -1.5 0.0 0) (curve 0 3.0 0)))) (color 1 0 0 (C (lift -1.5 2.0 (/ pi 7.25)) (curve -0.8 1.5 0.5) (curve 0.8 1.5 0.5))))),h_line,red,h_line,red,s_curve,red,balanced_data/var_balanced/glyphs/dim3/var4/images/3.png
(C (C (lift -1 -2.0 (/ pi 2)) (curve 0 4.0 0) (lift 1 -2.0 (/ pi 2)) (curve 0 4.0 0)) (C (C (color 1 0 0 (C (lift -1.5 -2.0 0) (curve 0 3.0 0))) (color 1 0 0 (C (lift -1.5 0.0 0) (curve 0 3.0 0)))) (color 0 1 0 (C (lift -1.5 2.0 (/ pi 7.25)) (curve -0.8 1.5 0.5) (curve 0.8 1.5 0.5))))),h_line,red,h_line,red,s_curve,green,balanced_data/var_balanced/glyphs/dim3/var4/images/4.png
(C (C (lift -1 -2.0 (/ pi 2)) (curve 0 4.0 0) (lift 1 -2.0 (/ pi 2)) (curve 0 4.0 0)) (C (C (color 1 0 0 (C (lift -1.5 -2.0 0) (curve 0 3.0 0))) (color 1 0 0 (C (lift -1.5 0.0 0) (curve 0 3.0 0)))) (color 0 0 1 (C (lift -1.5 2.0 (/ pi 7.25)) (curve -0.8 1.5 0.5) (curve 0.8 1.5 0.5))))),h_line,red,h_line,red,s_curve,blue,balanced_data/var_balanced/glyphs/dim3/var4/images/5.png
(C (C (lift -1 -2.0 (/ pi 2)) (curve 0 4.0 0) (lift 1 -2.0 (/ pi 2)) (curve 0 4.0 0)) (C (C (color 1 0 0 (C (lift -1.5 -2.0 0) (curve 0 3.0 0))) (color 1 0 0 (C (lift -1.5 0.0 0) (curve 0 3.0 0)))) (color 1 0 0 (C (lift -0.5 2.0 (/ pi 2)) (curve pi 0.314 1.0) (curve pi 0.314 1.0) (lift 0.5 2.0 (/ pi 2)) (curve pi 0.314 1.0) (curve pi 0.314 1.0))))),h_line,red,h_line,red,two_dots,red,balanced_data/var_balanced/glyphs/dim3/var4/images/6.png
(C (C (lift -1 -2.0 (/ pi 2)) (curve 0 4.0 0) (lift 1 -2.0 (/ pi 2)) (curve 0 4.0 0)) (C (C (color 1 0 0 (C (lift -1.5 -2.0 0) (curve 0 3.0 0))) (color 1 0 0 (C (lift -1.5 0.0 0) (curve 0 3.0 0)))) (color 0 1 0 (C (lift -0.5 2.0 (/ pi 2)) (curve pi 0.314 1.0) (curve pi 0.314 1.0) (lift 0.5 2.0 (/ pi 2)) (curve pi 0.314 1.0) (curve pi 0.314 1.0))))),h_line,red,h_line,red,two_dots,green,balanced_data/var_balanced/glyphs/dim3/var4/images/7.png
(C (C (lift -1 -2.0 (/ pi 2)) (curve 0 4.0 0) (lift 1 -2.0 (/ pi 2)) (curve 0 4.0 0)) (C (C (color 1 0 0 (C (lift -1.5 -2.0 0) (curve 0 3.0 0))) (color 1 0 0 (C (lift -1.5 0.0 0) (curve 0 3.0 0)))) (color 0 0 1 (C (lift -0.5 2.0 (/ pi 2)) (curve pi 0.314 1.0) (curve pi 0.314 1.0) (lift 0.5 2.0 (/ pi 2)) (curve pi 0.314 1.0) (curve pi 0.314 1.0))))),h_line,red,h_line,red,two_dots,blue,balanced_data/var_balanced/glyphs/dim3/var4/images/8.png
(C (C (lift -1 -2.0 (/ pi 2)) (curve 0 4.0 0) (lift 1 -2.0 (/ pi 2)) (curve 0 4.0 0)) (C (C (color 1 0 0 (C (lift -1.5 -2.0 0) (curve 0 3.0 0))) (color 0 1 0 (C (lift -1.5 0.0 0) (curve 0 3.0 0)))) (color 1 0 0 (C (lift -1.5 2.0 0) (curve 0 3.0 0))))),h_line,red,h_line,green,h_line,red,balanced_data/var_balanced/glyphs/dim3/var4/images/9.png
(C (C (lift -1 -2.0 (/ pi 2)) (curve 0 4.0 0) (lift 1 -2.0 (/ pi 2)) (curve 0 4.0 0)) (C (C (color 1 0 0 (C (lift -1.5 -2.0 0) (curve 0 3.0 0))) (color 0 1 0 (C (lift -1.5 0.0 0) (curve 0 3.0 0)))) (color 0 1 0 (C (lift -1.5 2.0 0) (curve 0 3.0 0))))),h_line,red,h_line,green,h_line,green,balanced_data/var_balanced/glyphs/dim3/var4/images/10.png
(C (C (lift -1 -2.0 (/ pi 2)) (curve 0 4.0 0) (lift 1 -2.0 (/ pi 2)) (curve 0 4.0 0)) (C (C (color 1 0 0 (C (lift -1.5 -2.0 0) (curve 0 3.0 0))) (color 0 1 0 (C (lift -1.5 0.0 0) (curve 0 3.0 0)))) (color 0 0 1 (C (lift -1.5 2.0 0) (curve 0 3.0 0))))),h_line,red,h_line,green,h_line,blue,balanced_data/var_balanced/glyphs/dim3/var4/images/11.png
(C (C (lift -1 -2.0 (/ pi 2)) (curve 0 4.0 0) (lift 1 -2.0 (/ pi 2)) (curve 0 4.0 0)) (C (C (color 1 0 0 (C (lift -1.5 -2.0 0) (curve 0 3.0 0))) (color 0 1 0 (C (lift -1.5 0.0 0) (curve 0 3.0 0)))) (color 1 0 0 (C (lift -1.5 2.0 (/ pi 7.25)) (curve -0.8 1.5 0.5) (curve 0.8 1.5 0.5))))),h_line,red,h_line,green,s_curve,red,balanced_data/var_balanced/glyphs/dim3/var4/images/12.png
(C (C (lift -1 -2.0 (/ pi 2)) (curve 0 4.0 0) (lift 1 -2.0 (/ pi 2)) (curve 0 4.0 0)) (C (C (color 1 0 0 (C (lift -1.5 -2.0 0) (curve 0 3.0 0))) (color 0 1 0 (C (lift -1.5 0.0 0) (curve 0 3.0 0)))) (color 0 1 0 (C (lift -1.5 2.0 (/ pi 7.25)) (curve -0.8 1.5 0.5) (curve 0.8 1.5 0.5))))),h_line,red,h_line,green,s_curve,green,balanced_data/var_balanced/glyphs/dim3/var4/images/13.png
(C (C (lift -1 -2.0 (/ pi 2)) (curve 0 4.0 0) (lift 1 -2.0 (/ pi 2)) (curve 0 4.0 0)) (C (C (color 1 0 0 (C (lift -1.5 -2.0 0) (curve 0 3.0 0))) (color 0 1 0 (C (lift -1.5 0.0 0) (curve 0 3.0 0)))) (color 0 0 1 (C (lift -1.5 2.0 (/ pi 7.25)) (curve -0.8 1.5 0.5) (curve 0.8 1.5 0.5))))),h_line,red,h_line,green,s_curve,blue,balanced_data/var_balanced/glyphs/dim3/var4/images/14.png
