trial_idx,summary_path,oddball_idx,oddball_abstraction,reference_variance,n_dimensions,abstraction_columns,response,answer,n_input_tokens,n_thought_tokens,n_output_tokens
0,balanced_data/var_balanced/regular_polygons/dim1/var0/summaries/summary=trial0.png,1,edge_type,0,1,"n_sides,edge_type","[1] {It is the only image containing a shape made of curved lines, while the others contain shapes made of straight lines.}",1,1599,0,27
1,balanced_data/var_balanced/regular_polygons/dim1/var0/summaries/summary=trial1.png,3,n_sides,0,1,"n_sides,edge_type","[3] {Image 3 contains a hexagon, while all other images contain a rhombus (a four-sided figure).}",3,1599,0,25
2,balanced_data/var_balanced/regular_polygons/dim1/var0/summaries/summary=trial2.png,2,n_sides,0,1,"n_sides,edge_type","[2] {Image 2 shows a shape with 4 inward-curving sides, whereas the other five images show a shape with 3 outward-curving sides.}",2,1599,0,36
3,balanced_data/var_balanced/regular_polygons/dim1/var0/summaries/summary=trial3.png,6,n_sides,0,1,"n_sides,edge_type","[6] {All other images show a hexagon, while image 6 shows an inverted triangle.}",6,1599,0,20
4,balanced_data/var_balanced/regular_polygons/dim1/var0/summaries/summary=trial4.png,6,n_sides,0,1,"n_sides,edge_type",[6] {It is the only image that contains a rhombus. All other images contain an upside-down triangle.},6,1599,0,24
5,balanced_data/var_balanced/regular_polygons/dim1/var0/summaries/summary=trial5.png,5,n_sides,0,1,"n_sides,edge_type",[5] {It is the only image containing a circle; all other images contain a shield-like shape.},5,1599,0,23
6,balanced_data/var_balanced/regular_polygons/dim1/var0/summaries/summary=trial6.png,5,edge_type,0,1,"n_sides,edge_type","[5] {It is the only image that does not contain a regular hexagon. Instead, it features a six-pointed star shape.}",5,1599,0,28
7,balanced_data/var_balanced/regular_polygons/dim1/var0/summaries/summary=trial7.png,1,n_sides,0,1,"n_sides,edge_type","[1] {All other images show a pentagon, while image 1 shows a square rotated 45 degrees, commonly known as a diamond shape.}",1,1599,0,32
8,balanced_data/var_balanced/regular_polygons/dim1/var0/summaries/summary=trial8.png,1,edge_type,0,1,"n_sides,edge_type","[1] {All other images show a shape with six inward-curving sides, while image 1 shows a hexagon with six straight sides.}",1,1599,0,30
9,balanced_data/var_balanced/regular_polygons/dim1/var0/summaries/summary=trial9.png,2,edge_type,0,1,"n_sides,edge_type","[2] {Image 2 shows a shape with curved sides, whereas all other images (1, 3, 4, 5, 6) show a shape with straight sides (a rhombus).}",2,1599,0,43
10,balanced_data/var_balanced/regular_polygons/dim1/var0/summaries/summary=trial10.png,5,edge_type,0,1,"n_sides,edge_type","[5] {All other images show a triangle made of straight lines, while image 5 shows a triangle made of curved lines.}",5,1599,0,27
11,balanced_data/var_balanced/regular_polygons/dim1/var0/summaries/summary=trial11.png,6,edge_type,0,1,"n_sides,edge_type","[6] {Images 1-5 all depict a shape with three curved sides, resembling a Reuleaux triangle or a similar curved triangular form. Image 6, however, depicts a standard triangle with three straight sides.}",6,1599,0,46
12,balanced_data/var_balanced/regular_polygons/dim1/var0/summaries/summary=trial12.png,2,edge_type,0,1,"n_sides,edge_type","[2] {Image 2 shows a circle (a shape with curved lines), while all other images show a pentagon (a shape with straight lines).}",2,1599,0,32
13,balanced_data/var_balanced/regular_polygons/dim1/var0/summaries/summary=trial13.png,5,n_sides,0,1,"n_sides,edge_type","[5] {All other images show a shape with three curved sides, while image 5 shows a star-like shape with five curved sides.}",5,1599,0,30
14,balanced_data/var_balanced/regular_polygons/dim1/var0/summaries/summary=trial14.png,1,edge_type,0,1,"n_sides,edge_type","[1] {All other images show a roughly circular shape, while image 1 shows a star-like shape with five distinct points.}",1,1599,0,28
15,balanced_data/var_balanced/regular_polygons/dim1/var0/summaries/summary=trial15.png,6,n_sides,0,1,"n_sides,edge_type","[6] {The shapes in images 1-5 are all identical (a squarish shape with convex sides), while the shape in image 6 is different (a shield-like shape with one flat top and two curved sides).}",6,1599,0,49
16,balanced_data/var_balanced/regular_polygons/dim1/var0/summaries/summary=trial16.png,3,n_sides,0,1,"n_sides,edge_type","[3] {All other images show a shield shape, while image 3 shows a circle.}",3,1599,0,20
17,balanced_data/var_balanced/regular_polygons/dim1/var0/summaries/summary=trial17.png,2,n_sides,0,1,"n_sides,edge_type","[2] {Image 2 shows a quadrilateral (specifically, a rhombus), while all other images show a pentagon.}",2,1599,0,25
18,balanced_data/var_balanced/regular_polygons/dim1/var0/summaries/summary=trial18.png,3,edge_type,0,1,"n_sides,edge_type","[3] {All other images show a figure with curved sides, while image 3 shows a figure with straight sides.}",3,1599,0,25
19,balanced_data/var_balanced/regular_polygons/dim1/var0/summaries/summary=trial19.png,1,edge_type,0,1,"n_sides,edge_type","[1] {Image 1 shows a hexagon, while all other images show a circle.}",1,1599,0,19
20,balanced_data/var_balanced/regular_polygons/dim1/var0/summaries/summary=trial20.png,1,edge_type,0,1,"n_sides,edge_type","[1] {The shape in image 1 has curved sides, while the shapes in images 2-6 have straight sides.}",1,1599,0,27
21,balanced_data/var_balanced/regular_polygons/dim1/var0/summaries/summary=trial21.png,3,edge_type,0,1,"n_sides,edge_type","[3] {All other images show a shape with rounded edges, while image 3 shows a shape with pointed edges.}",3,1599,0,25
22,balanced_data/var_balanced/regular_polygons/dim1/var0/summaries/summary=trial22.png,3,n_sides,0,1,"n_sides,edge_type","[3] {All other images show a shield-like shape, while image 3 shows a circle.}",3,1599,0,22
23,balanced_data/var_balanced/regular_polygons/dim1/var0/summaries/summary=trial23.png,6,edge_type,0,1,"n_sides,edge_type","[6] {The shape in image 6 has curved sides, while all other shapes (images 1-5) have straight sides, forming a rhombus.}",6,1599,0,33
24,balanced_data/var_balanced/regular_polygons/dim1/var0/summaries/summary=trial24.png,5,n_sides,0,1,"n_sides,edge_type","[5] {All other images show a six-pointed star shape, while image 5 shows a four-pointed star or diamond shape.}",5,1599,0,29
25,balanced_data/var_balanced/regular_polygons/dim1/var0/summaries/summary=trial25.png,4,n_sides,0,1,"n_sides,edge_type",[4] {It is the only image that contains a triangle (3 sides); all other images contain a pentagon (5 sides).},4,1599,0,28
26,balanced_data/var_balanced/regular_polygons/dim1/var0/summaries/summary=trial26.png,5,edge_type,0,1,"n_sides,edge_type","[5] {Image 5 contains a triangle with straight sides, while all other images contain a shape with curved sides.}",5,1599,0,25
27,balanced_data/var_balanced/regular_polygons/dim1/var0/summaries/summary=trial27.png,6,n_sides,0,1,"n_sides,edge_type","[6] {All other images show a regular pentagon, while image 6 shows a rhombus (or square rotated 45 degrees).}",6,1599,0,29
28,balanced_data/var_balanced/regular_polygons/dim1/var0/summaries/summary=trial28.png,5,edge_type,0,1,"n_sides,edge_type","[5] {Image 5 contains a roughly circular shape, while all other images contain a pentagonal shape.}",5,1599,0,23
29,balanced_data/var_balanced/regular_polygons/dim1/var0/summaries/summary=trial29.png,6,edge_type,0,1,"n_sides,edge_type","[6] {Images 1-5 all contain a circle, while image 6 contains a hexagon.}",6,1599,0,22
30,balanced_data/var_balanced/regular_polygons/dim1/var0/summaries/summary=trial30.png,1,n_sides,0,1,"n_sides,edge_type",[1] {It is the only image that contains a shape made of curved lines; all other images contain a shape made of straight lines.},1,1599,0,29
31,balanced_data/var_balanced/regular_polygons/dim1/var0/summaries/summary=trial31.png,3,edge_type,0,1,"n_sides,edge_type","[3] {All other images show a shape with curved sides, while image 3 shows a shape with straight sides (a diamond).}",3,1599,0,28
32,balanced_data/var_balanced/regular_polygons/dim1/var0/summaries/summary=trial32.png,2,edge_type,0,1,"n_sides,edge_type","[2] {Image 2 shows a hexagon, while all other images show a circle.}",2,1599,0,19
33,balanced_data/var_balanced/regular_polygons/dim1/var0/summaries/summary=trial33.png,4,n_sides,0,1,"n_sides,edge_type",[4] {It is the only image that contains a triangle; all other images contain a pentagon.},4,1599,0,22
34,balanced_data/var_balanced/regular_polygons/dim1/var0/summaries/summary=trial34.png,4,n_sides,0,1,"n_sides,edge_type","[4] {It is a quadrilateral (4 sides), while the other five are hexagons (6 sides).}",4,1599,0,22
35,balanced_data/var_balanced/regular_polygons/dim1/var0/summaries/summary=trial35.png,3,n_sides,0,1,"n_sides,edge_type",[3] {All other images show an inverted triangle.},3,1599,0,12
36,balanced_data/var_balanced/regular_polygons/dim1/var0/summaries/summary=trial36.png,3,n_sides,0,1,"n_sides,edge_type",[3] {Image 3 is the only image that does not contain a circle. All other images contain a circle.},3,1599,0,25
37,balanced_data/var_balanced/regular_polygons/dim1/var0/summaries/summary=trial37.png,2,edge_type,0,1,"n_sides,edge_type","[2] {All other images display a star-like shape with six points, while image 2 displays a circle.}",2,1599,0,25
38,balanced_data/var_balanced/regular_polygons/dim1/var0/summaries/summary=trial38.png,3,n_sides,0,1,"n_sides,edge_type","[3] {Image 3 contains a perfect circle, while the other five images contain slightly irregular, hand-drawn-like circles.}",3,1599,0,28
39,balanced_data/var_balanced/regular_polygons/dim1/var0/summaries/summary=trial39.png,5,edge_type,0,1,"n_sides,edge_type",[5] {It is the only image containing a triangle with straight sides; all other images feature a shield-like shape with curved sides.},5,1599,0,29
40,balanced_data/var_balanced/regular_polygons/dim1/var0/summaries/summary=trial40.png,5,edge_type,0,1,"n_sides,edge_type","[5] {All other images show a regular pentagon, while image 5 shows an irregular star-like shape with 5 points.}",5,1599,0,29
41,balanced_data/var_balanced/regular_polygons/dim1/var0/summaries/summary=trial41.png,2,edge_type,0,1,"n_sides,edge_type","[2] {Image 2 is a six-pointed star, while all other images are regular hexagons.}",2,1599,0,22
